time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,139.52000427246094,537,0.0
2021-01-28 21:30:00-05:00,MLTrader,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 21:30:00-05:00,MLTrader,AAPL,sell,stop,fill,1,day,0.0,1,stock,138.12480422973633,537,0.0
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-28 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.69000244140625,514,0.0
2021-07-28 21:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-28 21:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,146.13690246582033,514,0.0
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-29 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,144.3800048828125,519,0.0
2021-07-29 21:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-29 21:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,145.82380493164064,519,0.0
2021-10-29 09:30:00-04:00,MLTrader,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-29 09:30:00-04:00,MLTrader,AAPL,buy,market,fill,1,gtc,0.0,1,stock,147.22000122070312,513,0.0
2021-10-29 21:30:00-04:00,MLTrader,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-10-29 21:30:00-04:00,MLTrader,AAPL,sell,limit,fill,1,day,0.0,1,stock,148.69220123291015,513,0.0
