datetime,portfolio_value,cash,return
2020-12-30 09:30:00-05:00,100000.0,100000.0,
2020-12-31 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-01 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-20 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-26 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 09:30:00-05:00,98018.46868896484,25077.757705688477,-0.019815313110351562
2021-01-30 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-01 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-02 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-03 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-04 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-05 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-06 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-08 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-09 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-10 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-11 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-12 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-13 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-16 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-17 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-18 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-19 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-20 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-22 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-23 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-24 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-25 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-26 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-02-27 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-01 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-02 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-03 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-04 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-05 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-06 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-08 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-09 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-10 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-11 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-12 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-13 09:30:00-05:00,98018.46868896484,98018.46868896484,0.0
2021-03-15 09:30:00-04:00,98018.46868896484,98018.46868896484,0.0
