datetime,portfolio_value,cash,return
2021-02-01 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-02 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-02 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-03 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-04 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-04 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-05 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-05 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-08 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-08 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-09 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-09 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-10 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-10 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-11 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-11 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-12 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-12 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-16 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-16 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-17 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-17 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-18 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-18 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-19 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-19 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-22 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-22 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-23 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-23 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-24 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-24 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-25 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-25 21:30:00-05:00,100000.0,100000.0,0.0
2021-02-26 09:30:00-05:00,100000.0,100000.0,0.0
2021-02-26 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-01 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-01 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-02 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-02 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-03 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-03 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-04 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-04 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-05 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-05 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-08 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-08 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-09 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-09 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-10 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-10 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-11 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-11 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-12 09:30:00-05:00,100000.0,100000.0,0.0
2021-03-12 21:30:00-05:00,100000.0,100000.0,0.0
2021-03-15 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-15 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-16 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-16 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-17 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-17 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-18 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-18 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-19 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-19 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-22 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-22 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-23 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-23 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-24 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-24 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-25 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-25 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-26 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-26 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-29 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-29 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-30 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-30 21:30:00-04:00,100000.0,100000.0,0.0
2021-03-31 09:30:00-04:00,100000.0,100000.0,0.0
2021-03-31 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-01 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-01 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-05 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-05 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-06 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-06 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-07 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-07 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-08 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-08 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-09 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-09 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-12 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-12 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-13 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-13 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-14 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-14 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-15 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-15 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-16 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-16 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-19 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-19 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-20 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-20 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-21 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-21 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-22 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-22 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-23 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-23 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-26 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-26 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-27 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-27 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-28 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-28 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-29 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-29 21:30:00-04:00,100000.0,100000.0,0.0
2021-04-30 09:30:00-04:00,100000.0,100000.0,0.0
2021-04-30 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-03 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-03 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-04 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-04 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-05 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-05 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-06 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-06 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-07 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-07 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-10 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-10 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-11 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-11 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-12 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-12 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-13 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-13 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-14 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-14 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-17 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-17 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-18 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-18 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-19 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-19 21:30:00-04:00,100000.0,100000.0,0.0
2021-05-20 09:30:00-04:00,100000.0,100000.0,0.0
2021-05-20 21:30:00-04:00,100000.0,100000.0,0.0
