datetime,portfolio_value,cash,return
2020-12-30 09:30:00-05:00,100000.0,100000.0,
2020-12-31 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-01 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-20 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-26 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2021-01-29 09:30:00-05:00,98018.46868896484,25077.757705688477,-0.019815313110351562
2021-01-30 09:30:00-05:00,96253.88788528442,96253.88788528442,-0.018002533882464977
2021-02-01 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
2021-02-02 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
2021-02-03 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
2021-02-04 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
2021-02-05 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
2021-02-06 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
2021-02-08 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
2021-02-09 09:30:00-05:00,96253.88788528442,96253.88788528442,0.0
