datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-02 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-02 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 09:30:00-05:00,100000.0,100000.0,0.0
